"subj_idx","stim","stim_PM","stim_noPM","rt","response","trialno","TBdist","TSdist","SBdist","Helpful"
"1","Rem","PM","noPM","0.82381","1","17","0.016139","0.33333","0.31719","7"
"1","Rem","PM","noPM","0.56715","1","18","0.016139","0.16667","0.15053","7"
"1","Rem","PM","noPM","0.61767","1","19","0.016139","0.33333","0.34947","7"
"1","Rem","PM","noPM","0.70373","1","20","0.016139","0.083333","0.067194","7"
"1","Rem","PM","noPM","0.61625","1","21","0.016139","0.33333","0.34947","7"
"1","Rem","PM","noPM","0.95073","1","22","0.016139","0.41667","0.40053","7"
"1","Rem","PM","noPM","0.6255","1","23","0.016139","0.16667","0.15053","7"
"1","Rem","PM","noPM","0.75348","1","25","0.016139","0.16667","0.18281","7"
"1","Rem","PM","noPM","0.68832","1","26","0.016139","0.083333","0.067194","7"
"1","Rem","PM","noPM","0.52294","1","27","0.016139","0.083333","0.067194","7"
"1","Rem","PM","noPM","0.94785","0","28","0.016139","0.16667","0.18281","7"
"1","Rem","PM","noPM","0.90692","1","29","0.016139","0.5","0.48386","7"
"1","Rem","PM","noPM","0.6586","1","30","0.016139","0.16667","0.15053","7"
"1","Rem","PM","noPM","0.64421","1","1","0.016528","0.41667","0.40014","7"
"1","Rem","PM","noPM","0.87178","1","2","0.016528","0.083333","0.099861","7"
"1","Rem","PM","noPM","0.7634","1","3","0.016528","0.25","0.23347","7"
"1","Rem","PM","noPM","0.89985","1","4","0.016528","0.41667","0.40014","7"
"1","Rem","PM","noPM","1.0885","1","5","0.016528","0.083333","0.066806","7"
"1","Rem","PM","noPM","0.72718","1","7","0.016528","0.41667","0.43319","7"
"1","Rem","PM","noPM","0.61559","1","8","0.016528","0.083333","0.099861","7"
"1","Rem","PM","noPM","1.654","1","9","0.016528","0.41667","0.43319","7"
"1","Rem","PM","noPM","0.87602","1","10","0.016528","0.41667","0.40014","7"
"1","Rem","PM","noPM","0.59433","1","11","0.016528","0.41667","0.40014","7"
"1","Rem","PM","noPM","0.80146","1","12","0.016528","0.083333","0.099861","7"
"1","Rem","PM","noPM","0.60039","1","13","0.016528","0.41667","0.43319","7"
"1","Rem","PM","noPM","0.62367","1","14","0.016528","0.25","0.26653","7"
"1","Rem","PM","noPM","0.70947","1","15","0.016528","0.083333","0.066806","7"
"1","Rem","PM","noPM","0.63203","1","16","0.016528","0.25","0.26653","7"
"1","Rem","PM","noPM","0.88667","1","17","0.016528","0.41667","0.43319","7"
"1","Rem","PM","noPM","0.72225","1","18","0.016528","0.33333","0.31681","7"
"1","Rem","PM","noPM","0.95413","1","19","0.016528","0.083333","0.066806","7"
"1","Rem","PM","noPM","0.81163","1","20","0.016528","0.33333","0.31681","7"
"1","Rem","PM","noPM","1.0507","1","21","0.016528","0.083333","0.066806","7"
"1","Rem","PM","noPM","0.69426","1","22","0.016528","0.25","0.26653","7"
"1","Rem","PM","noPM","0.68943","1","23","0.016528","0.33333","0.31681","7"
"1","Rem","PM","noPM","1.2524","1","24","0.016528","0.25","0.23347","7"
"1","Rem","PM","noPM","0.58939","1","26","0.016528","0.33333","0.31681","7"
"1","Rem","PM","noPM","0.97216","1","27","0.016528","0.083333","0.099861","7"
